time,I_cell,T_stack,P_ano,P_cat,m_dot_Osep,m_dot_Hsep,C1,C2,C3,C4,C5,C6,Fault_class
31.4,19.726566040781,311.61052527663,108497.138114771,1105002.86188523,0.0169942762295426,0.0100057237704574,0,0,0,0,0,0,0
31.6,19.7265660404343,311.610525275021,108497.138114771,1105002.86188523,0.0169942762295427,0.0100057237704573,0,0,0,0,0,1,0
31.8,19.7265660401791,311.610525273837,108497.138114771,1105002.86188523,0.0169942762295427,0.0100057237704573,0,0,0,0,0,0,0
32,19.7265660399912,311.610525272965,108497.138114771,1105002.86188523,0.0169942762295428,0.0100057237704572,0,0,0,0,0,0,0
32.2,19.7265660398529,311.610525272323,108497.138114771,1105002.86188523,0.0169942762295428,0.0100057237704572,0,0,0,0,0,0,0
32.4,19.7265660397511,311.610525271851,108497.138114771,1105002.86188523,0.0169942762295429,0.0100057237704571,0,0,0,0,0,0,0
32.6,19.7265660396762,311.610525271503,108497.138114771,1105002.86188523,0.0169942762295429,0.0100057237704571,0,0,0,0,0,0,0
32.8,19.726566039621,311.610525271247,108497.138114771,1105002.86188523,0.0169942762295429,0.0100057237704571,0,0,0,0,0,0,0
33,19.7265660395804,311.610525271058,108497.138114771,1105002.86188523,0.0169942762295429,0.0100057237704571,0,0,0,0,0,0,0
33.2,19.7265660395505,311.610525270919,108497.138114771,1105002.86188523,0.0169942762295429,0.0100057237704571,0,0,0,0,0,0,0
33.4,19.7265660395284,311.610525270817,108497.138114771,1105002.86188523,0.0169942762295429,0.0100057237704571,0,0,0,0,0,0,0
33.6,19.7265660395123,311.610525270742,108497.138114771,1105002.86188523,0.0169942762295429,0.0100057237704571,0,0,0,0,0,0,0
33.8,19.7265660395003,311.610525270687,108497.138114771,1105002.86188523,0.0169942762295429,0.0100057237704571,0,0,0,0,0,0,0
34,19.7265660394915,311.610525270646,108497.138114771,1105002.86188523,0.0169942762295429,0.0100057237704571,0,0,0,0,0,0,0
34.2,19.7265660394851,311.610525270616,108497.138114771,1105002.86188523,0.0169942762295429,0.0100057237704571,0,0,0,0,0,0,0
34.4,19.7265660394803,311.610525270594,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,0,0
34.6,19.7265660394768,311.610525270578,108497.138114771,1105002.86188523,0.016994276229543,0.010005723770457,0,0,0,0,0,0,0
34.8,19.7265660394742,311.610525270566,108497.138114771,1105002.86188523,0.016994276229543,0.010005723770457,0,0,0,0,0,0,0
35,19.7265660394723,311.610525270557,108497.138114771,1105002.86188523,0.016994276229543,0.010005723770457,0,0,0,0,0,0,0
35.2,19.7265660394709,311.61052527055,108497.138114771,1105002.86188523,0.016994276229543,0.010005723770457,0,0,0,0,0,1,0
35.4,19.7265660394699,311.610525270546,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
35.6,19.7265660394692,311.610525270542,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
35.8,19.7265660394686,311.61052527054,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,0,0
36,19.7265660394682,311.610525270538,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,0,0
36.2,19.7265660394679,311.610525270536,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,0,0
36.4,19.7265660394677,311.610525270535,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,0,0
36.6,19.7265660394675,311.610525270535,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
36.8,19.7265660394674,311.610525270534,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
37,19.7265660394673,311.610525270534,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
37.2,19.7265660394673,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
37.4,19.7265660394672,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
37.6,19.7265660394672,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
37.8,19.7265660394671,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,0,0
38,19.7265660394671,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
38.2,19.7265660394671,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
38.4,19.7265660394671,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
38.6,19.7265660394671,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
38.8,19.7265660394671,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
39,19.7265660394671,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
39.2,19.7265660394671,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
39.4,19.7265660394671,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
39.6,19.7265660394671,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
39.8,19.7265660394671,311.610525270533,108497.138114771,1105002.86188523,0.0169942762295429,0.010005723770457,0,0,0,0,0,1,0
40,39.4258754829035,311.610525270533,108494.382252829,1105005.61774717,0.0169887645056572,0.0100112354943428,0,0,0,0,0,0,0
40.2,39.5491047793259,311.873537491697,108494.262944536,1105005.73705546,0.0169885258890719,0.0100114741109277,0,0,0,0,0,1,0
40.4,39.6402659845575,312.067898956452,108494.24955292,1105005.75044708,0.0169884991058409,0.0100115008941593,0,0,0,0,0,0,0
40.6,39.7076857606967,312.211529529979,108494.2396488,1105005.7603512,0.0169884792976009,0.0100115207023992,0,0,0,0,0,0,0
40.8,39.7575371154913,312.317671090982,108494.232325451,1105005.76767455,0.0169884646509028,0.0100115353490972,0,0,0,0,0,0,0
41,39.794392602041,312.396108891593,108494.226911205,1105005.77308879,0.0169884538224108,0.0100115461775894,0,0,0,0,0,0,0
41.2,39.8216371635195,312.454073959621,108494.222908829,1105005.77709117,0.0169884458176578,0.0100115541823422,0,0,0,0,0,0,0
41.4,39.8417754474635,312.496909873284,108494.219950393,1105005.78004961,0.016988439900785,0.010011560099215,0,0,0,0,0,0,0
